name,total_downloads,latest_release,has_attestation
simplecov-html,7151577,2024-09-09 03:04:13.074428,False
os,7111407,2021-11-07 04:17:26.761624,False
ruby2_keywords,7029979,2021-07-16 04:36:27.049671,False
simplecov,7020125,2022-12-23 20:58:19.76806,False
redis,6984811,2025-02-20 08:07:51.011056,False
rubocop-performance,6923199,2025-02-15 16:07:53.443757,False
irb,6893802,2025-01-22 06:01:27.347545,False
reline,6859530,2024-12-16 17:12:25.160621,False
rack-protection,6842237,2024-11-20 15:49:10.533488,False
webmock,6820958,2025-03-08 10:49:54.477374,False
sprockets,6703266,2024-09-19 10:32:03.453155,False
rb-fsevent,6683988,2022-08-29 15:16:41.618907,False
hashie,6663453,2021-11-08 19:46:13.017725,False
rubocop-rails,6620172,2025-03-03 03:07:39.615988,False
rouge,6484279,2024-11-11 23:02:58.584404,False
sprockets-rails,6463323,2024-07-31 20:26:01.477447,False
crack,6376830,2024-02-09 22:53:26.322761,False
net-pop,6373373,2022-09-28 09:37:33.259029,False
sawyer,6315161,2022-06-07 13:11:18.515765,False
rb-inotify,6294544,2024-05-19 00:30:58.663416,False
pg,6265498,2024-11-28 11:04:30.900984,False
stringio,6259522,2025-02-21 00:53:50.694643,False
psych,6240540,2025-01-17 15:20:32.458094,True
mini_magick,6234373,2025-02-22 13:36:26.110658,False
byebug,6233282,2020-04-23 10:01:33.453845,False
unicode-emoji,6221085,2024-11-19 09:29:25.420833,False
bootsnap,6218620,2024-08-05 09:50:48.629405,False
octokit,6176027,2024-10-16 17:18:06.891262,False
simplecov_json_formatter,6174204,2022-02-14 22:19:23.62817,False
csv,6165027,2024-12-21 08:54:03.665833,False
retriable,6162985,2018-06-11 00:44:55.76139,False
google-cloud-env,6155443,2025-03-13 23:59:16.544814,False
rdoc,6085034,2025-02-06 11:41:36.998661,True
google-apis-core,6075033,2025-01-15 19:48:15.423831,False
digest-crc,6037643,2025-01-28 08:12:47.222727,False
rspec-rails,6028055,2025-02-06 11:47:55.696465,False
uber,5974154,2016-11-10 09:11:33.64745,False
io-console,5951517,2024-12-03 05:05:44.466012,True
representable,5949642,2022-05-16 08:09:28.088341,False
faraday-httpclient,5933541,2022-01-06 16:31:07.621065,False
declarative,5924994,2020-06-29 12:21:37.841672,False
faraday-em_http,5910006,2024-02-10 14:58:26.842671,False
faraday-em_synchrony,5908821,2021-04-26 07:41:23.484131,False
bcrypt,5857708,2023-11-17 17:00:51.274813,False
rubocop-rspec,5856015,2025-02-16 12:13:11.786075,True
rackup,5849427,2024-11-13 22:37:40.796226,False
faraday-patron,5840962,2022-01-06 16:43:22.430746,False
faraday-rack,5825800,2022-03-12 09:40:17.929737,False
trailblazer-option,5805883,2021-11-07 12:24:47.406861,False
listen,5711839,2024-02-24 20:26:57.620769,False
rest-client,5672286,2019-08-22 01:07:47.06183,False
selenium-webdriver,5603854,2025-02-22 22:26:51.640318,False
faraday_middleware,5544939,2024-09-23 13:28:08.686364,False
capybara,5529301,2024-01-27 00:49:07.625424,False
factory_bot,5490220,2025-01-31 14:01:27.257817,False
xpath,5454026,2018-10-15 20:48:26.060025,False
request_store,5399800,2024-05-01 20:22:11.071169,False
mini_portile2,5307106,2024-11-14 20:32:19.114182,False
ostruct,5289849,2024-11-08 01:35:31.851878,False
tty-screen,5273767,2023-12-17 22:29:41.445785,False
google-cloud-core,5262434,2025-03-11 01:00:02.638205,False
http-accept,5171375,2024-02-05 04:01:40.166832,False
google-cloud-errors,5161760,2025-03-04 20:00:16.691941,False
websocket,5152200,2024-07-08 19:47:39.256786,False
tty-cursor,5139048,2020-01-25 16:15:05.12711,False
dry-core,5063296,2025-01-04 19:18:07.6586,False
redis-client,5012082,2025-03-05 08:34:43.374697,False
launchy,4853430,2025-02-21 16:30:53.473171,False
dry-inflector,4800281,2025-01-04 19:31:55.795206,False
factory_bot_rails,4755408,2024-10-25 11:47:40.233038,False
nkf,4721059,2024-01-22 03:30:31.521497,False
dry-types,4691029,2025-01-31 11:23:14.884004,False
oj,4679268,2025-02-25 00:13:13.396996,False
mustermann,4656068,2024-09-03 10:11:34.328451,False
dry-logic,4642445,2025-01-04 19:22:53.21254,False
google-apis-storage_v1,4640505,2025-03-02 12:12:50.446715,False
ethon,4629323,2022-11-04 20:54:15.72037,False
matrix,4629251,2021-06-18 10:13:06.945221,False
rspec_junit_formatter,4620582,2022-09-29 06:04:34.324815,False
typhoeus,4615950,2023-11-17 09:01:24.284749,False
faker,4592894,2024-10-19 01:01:54.364764,False
net-ssh,4559496,2024-10-02 09:38:38.897302,False
responders,4521514,2023-10-11 22:02:19.62419,False
sorbet-runtime,4485265,2025-03-15 05:36:01.890075,False
google-cloud-storage,4417230,2025-02-13 18:50:50.197469,False
eventmachine,4392476,2018-05-12 13:05:44.577979,False
google-apis-iamcredentials_v1,4378341,2024-11-03 12:12:19.81558,False
shoulda-matchers,4375220,2024-08-16 20:42:35.159575,False
pp,4363329,2024-12-03 04:52:44.342512,True
colored2,4341645,2025-01-18 21:43:12.501955,False
claide,4333967,2022-01-12 17:48:48.799461,False
rack-cors,4328768,2024-03-04 15:48:10.004158,False
unf,4327301,2024-08-18 15:40:25.405532,False
sentry-ruby,4325174,2025-03-11 13:01:40.325875,False
unf_ext,4285190,2023-11-16 12:20:06.622336,False
graphql,4283467,2025-03-17 10:19:49.634681,False
execjs,4225157,2024-10-23 13:47:19.184507,False
pry-byebug,4224915,2022-08-16 16:30:09.356585,False
warden,4186970,2020-08-31 15:02:27.505141,False
highline,4182599,2025-01-06 04:25:07.041418,False
rubygems-update,4170889,2025-03-13 20:02:26.599852,False
devise,4136595,2024-04-10 12:27:39.352941,False
bootboot,4132794,2023-01-25 16:49:03.949321,False
version_gem,4115498,2025-02-24 09:44:35.595379,False
formatador,4110727,2022-01-25 01:57:04.84524,False
kramdown,4090283,2024-11-18 16:41:37.511124,False
kaminari-core,4017167,2021-12-25 03:28:43.127826,False
orm_adapter,4003545,2013-11-12 16:19:42.605219,False
oauth2,3998326,2022-09-16 05:07:34.893182,False
et-orbi,3981686,2024-03-23 00:37:42.02414,False
kaminari,3972167,2021-12-25 03:28:38.385495,False
plist,3969374,2024-12-26 17:45:03.827331,False
fugit,3968346,2024-08-15 12:11:11.005906,False
kaminari-activerecord,3954421,2021-12-25 03:28:50.21304,False
sidekiq,3953063,2025-03-06 22:32:45.417016,False
kaminari-actionview,3941104,2021-12-25 03:28:48.025999,False
raabro,3933284,2020-10-05 23:32:44.444935,False
spring,3927886,2025-03-12 08:23:20.321039,False
googleapis-common-protos-types,3923475,2025-01-14 21:09:23.146723,False
temple,3908308,2023-10-04 05:34:39.312927,False
CFPropertyList,3846923,2024-02-15 14:03:23.555056,False
sinatra,3792950,2024-11-20 15:49:13.691658,False
thread_safe,3770719,2017-02-22 19:51:15.835864,False
