name,total_downloads
graphql-client,1844278
fog-json,1833447
oauth,1828878
json-schema,1826451
jquery-rails,1816098
sassc-rails,1795622
strscan,1790743
xcpretty,1789267
aws-sdk-cloudformation,1783208
faraday-follow_redirects,1776696
memoist,1774842
optimist,1774611
gitlab,1769948
cork,1768991
premailer,1767565
claide-plugins,1765329
ssrf_filter,1762942
useragent,1762853
faraday_middleware-aws-sigv4,1762111
net-sftp,1761715
get_process_mem,1758484
guard,1752171
dry-schema,1749956
lumberjack,1749731
sanitize,1749651
aws-sdk-resources,1742456
simpleidn,1740600
googleapis-common-protos,1738417
rubocop-rspec_rails,1724601
bundler-audit,1723787
rqrcode_core,1721125
nenv,1716827
shellany,1714283
childprocess,1710038
rspec-retry,1708601
notiffany,1708584
aws-sdk-lambda,1705008
rack-timeout,1695410
sentry-sidekiq,1693055
aws-sdk-secretsmanager,1679976
commander,1679960
gapic-common,1677443
fog-aws,1675218
atomos,1673222
unparser,1672713
guard-compat,1669954
premailer-rails,1667866
activerecord-import,1659844
gh_inspector,1659065
aws-sdk,1658322
mysql2,1626828
omniauth-google-oauth2,1622558
doorkeeper,1616156
jsonpath,1613749
security,1609633
openssl,1606425
ruby-vips,1599326
carrierwave,1594862
ttfunk,1593773
json-jwt,1579563
strings-ansi,1562344
test-prof,1561785
spring-commands-rspec,1560339
opentelemetry-api,1559695
guard-rspec,1557628
reverse_markdown,1555007
xml-simple,1553052
dry-validation,1551296
diffy,1548782
sass-rails,1541170
aes_key_wrap,1540473
ipaddress,1539825
opentelemetry-sdk,1536704
faraday-cookie_jar,1535398
image_processing,1533112
opentelemetry-common,1532800
memory_profiler,1532515
opentelemetry-semantic_conventions,1530882
tins,1526997
tomlrb,1521347
ice_cube,1520212
artifactory,1519728
encryptor,1518822
strings,1515175
state_machines,1512498
rubyntlm,1510522
flipper,1510229
opentelemetry-registry,1509098
descendants_tracker,1505587
turbo-rails,1504556
redis-store,1490981
fiber-storage,1486969
capybara-screenshot,1479298
yajl-ruby,1477811
coercible,1477274
proc_to_ast,1470765
dogstatsd-ruby,1467357
terser,1465290
grpc-google-iam-v1,1465003
simplecov-cobertura,1456618
opentelemetry-instrumentation-base,1452521
rspec-parameterized,1447702
opentelemetry-exporter-otlp,1445962
redis-actionpack,1442898
virtus,1442491
tty-command,1442274
rspec-parameterized-core,1441762
axiom-types,1437487
opentelemetry-instrumentation-rack,1435088
google-apis-playcustomapp_v1,1433979
rspec-parameterized-table_syntax,1430708
ruby-openai,1427259
sidekiq-cron,1419442
opentelemetry-instrumentation-action_pack,1418424
aws-sdk-sns,1417135
view_component,1416591
colored,1415040
redis-rack,1401437
sync,1401250
opentelemetry-instrumentation-active_record,1391299
validate_url,1390183
emoji_regex,1382467
recaptcha,1381878
vcr,1377036
terminal-notifier,1377028
cocoapods,1366367
opentelemetry-instrumentation-net_http,1354966
naturally,1352998
safe_yaml,1352914
sass-embedded,1350714
simctl,1348613
libddwaf,1347907
libdatadog,1346430
prism,1345148
debase-ruby_core_source,1344700
opensearch-ruby,1340618
warning,1338435
ruby-rc4,1338338
database_cleaner,1329796
opentelemetry-instrumentation-active_support,1329180
word_wrap,1328649
twilio-ruby,1327394
opentelemetry-instrumentation-sidekiq,1327208
liquid,1319216
aws-sdk-cloudwatch,1318542
cocoapods-core,1313560
rugged,1309535
xcpretty-travis-formatter,1309148
commonmarker,1305009
hana,1302206
async,1294876
active_model_serializers,1292332
opentelemetry-instrumentation-action_view,1292123
deep_merge,1291506
attr_required,1288774
i18n_data,1287334
tzinfo-data,1285707
stimulus-rails,1284537
grpc-tools,1274504
stripe,1274269
rack-oauth2,1269982
sqlite3,1269941
opentelemetry-instrumentation-http_client,1268917
opentelemetry-instrumentation-rails,1267614
flipper-active_record,1263212
opentelemetry-instrumentation-http,1261244
opentelemetry-instrumentation-redis,1260721
opentelemetry-instrumentation-faraday,1258823
sigdump,1258476
console,1251383
mixlib-shellout,1249251
pg_query,1249164
aws-sdk-ecr,1247382
json_schemer,1247221
icalendar,1245788
gli,1244967
fiber-local,1244939
webfinger,1241657
openid_connect,1239233
swd,1238028
ransack,1236260
benchmark-ips,1230969
io-event,1226504
lru_redux,1224883
colorize,1224299
opentelemetry-instrumentation-pg,1220856
http_parser.rb,1220741
rbs,1218661
sixarm_ruby_unaccent,1217836
parslet,1215986
no_proxy_fix,1215706
uglifier,1214040
money,1212602
table_print,1209768
recursive-open-struct,1209094
bcrypt_pbkdf,1206435
simplecov-lcov,1201594
opentelemetry-instrumentation-aws_sdk,1201259
grape,1196224
fiber-annotation,1193188
opentelemetry-instrumentation-active_job,1191750
mustermann-grape,1190198
mize,1190047
sass,1189658
letter_opener,1183955
opentelemetry-instrumentation-concurrent_ruby,1178951
numerizer,1178178
opentelemetry-instrumentation-ethon,1174902
rb_sys,1172552
state_machines-activemodel,1172287
device_detector,1166970
opentelemetry-helpers-sql-obfuscation,1165300
ffaker,1163558
state_machines-activerecord,1162089
jira-ruby,1158993
vite_ruby,1158545
dry-cli,1156847
marginalia,1155731
rack-accept,1155118
aasm,1151339
atlassian-jwt,1147884
amatch,1143020
with_env,1142838
dry-container,1142492
license_finder,1139742
coffee-script-source,1137320
opentelemetry-instrumentation-graphql,1134159
elasticsearch-model,1133659
google-cloud-location,1132460
cssbundling-rails,1132331
newrelic_rpm,1130980
importmap-rails,1129258
aws-sdk-iam,1124724
aws-sdk-ses,1124241
rbtrace,1123520
fluent-plugin-s3,1123189
email_validator,1122877
gemoji,1120132
devise-two-factor,1119346
prime,1118592
vite_rails,1112169
coffee-script,1107263
fuubar,1102090
geocoder,1098220
opentelemetry-instrumentation-excon,1096047
chronic,1094592
chef-utils,1093410
Ascii85,1089141
opentelemetry-instrumentation-rake,1087538
aws-sdk-states,1086900
net-ldap,1086455
pundit,1085078
danger-gitlab,1084991
pdf-reader,1083825
opentelemetry-instrumentation-action_mailer,1079923
charlock_holmes,1078207
statsd-ruby,1077890
fog-google,1077472
rubocop-graphql,1076734
ohai,1075373
term-ansicolor,1074726
autoprefixer-rails,1073390
fluent-plugin-record-modifier,1072882
molinillo,1071486
redcarpet,1069466
aws-sdk-cloudwatchevents,1062436
fuzzy_match,1060476
murmurhash3,1059435
cocoapods-downloader,1058185
deprecation_toolkit,1057451
lockbox,1057190
influxdb-client,1056784
email_spec,1056111
elasticsearch-rails,1054363
grape-entity,1050028
omniauth-saml,1049259
google-apis-compute_v1,1049034
require_all,1046561
gpgme,1044716
gon,1043970
grape-swagger,1042178
google-apis-monitoring_v3,1041311
aws-sdk-route53,1038305
strong_migrations,1038059
google-apis-dns_v1,1034578
aws-sdk-cloudwatchlogs,1034247
ruby-macho,1033385
google-apis-pubsub_v1,1032660
sys-filesystem,1032222
mixlib-cli,1032022
mixlib-config,1031259
arr-pm,1030948
roo,1030520
rinku,1030108
google-apis-sqladmin_v1beta4,1030065
escape_utils,1029837
fast_blank,1029750
faraday-typhoeus,1025232
fast_gettext,1024680
mongo,1024635
health_check,1024134
heapy,1022079
nori,1020209
citrus,1019489
jsonapi-renderer,1018429
toml-rb,1017578
opentelemetry-instrumentation-grape,1016537
coverband,1016315
asciidoctor,1009665
licensee,1009004
hashery,1004088
kubeclient,1003089
